Date,Prices,MA 7 Day,MA 21 Day,Upper Band,Lower Band,EMA 12 Day,EMA 26 Day,MACD,S&P Futures,EURUSD,EURJPY,USDJPY,EURUSD Fluctuations,Sentiments,Options ADV
2011-04-29,19.663462,19.511218,19.161943473684207,19.926690438941073,19.926690438941073,19.663462,19.663462,0.0,1359.75,1.484406,121.0,81.529999,0.7600668742675776,0.0,13920.0
2011-05-02,19.692307999999997,19.511218,19.161943473684207,19.926690438941073,19.926690438941073,19.679086916666662,19.67843973076923,0.0006471858974315126,1357.75,1.479399,120.21399699999999,81.226997,0.7545596589876891,0.0,11982.0
2011-05-03,19.846153,19.511218,19.161943473684207,19.926690438941073,19.926690438941073,19.744292847575053,19.73869748003943,0.005595367535622842,1352.0,1.4823819999999999,120.333,81.18,0.7570061447803332,0.0,11155.0
2011-05-04,19.490385,19.511218,19.161943473684207,19.926690438941073,19.926690438941073,19.664144062931033,19.669280161771393,-0.005136098840360148,1343.0,1.483327,120.099998,80.969002,0.7570040227493796,0.0,22626.0
2011-05-05,19.134615,19.511218,19.161943473684207,19.926690438941073,19.926690438941073,19.52027290905718,19.54528910547726,-0.02501619642007924,1335.0,1.482975,119.608002,80.639999,0.7554203354065196,0.0,17189.0
2011-05-06,19.240385,19.511218,19.161943473684207,19.926690438941073,19.926690438941073,19.452245422308106,19.48421924497807,-0.031973822669964846,1334.5,1.45444,116.940002,80.417,0.7304976096197449,0.0,12857.0
2011-05-09,19.298077,19.4503205,19.161943473684207,19.926690438941073,19.926690438941073,19.4178432782642,19.45111481164454,-0.033271533380339946,1342.75,1.435297,115.82,80.734001,0.7155779256892622,0.0,23349.0
2011-05-10,19.519232000000002,19.421474500000002,19.161943473684207,19.926690438941073,19.926690438941073,19.439001541775333,19.462090178518487,-0.023088636743153756,1353.75,1.437608,115.343002,80.241997,0.7155541062851549,0.0,19469.0
2011-05-11,19.317307999999997,19.333333666666668,19.161943473684207,19.926690438941073,19.926690438941073,19.41492622777709,19.440630281268,-0.025704053490908763,1338.75,1.441109,116.699997,81.011002,0.7215396805294155,0.0,15513.0
2011-05-12,19.365385,19.312500333333332,19.161943473684207,19.926690438941073,19.926690438941073,19.405538184367252,19.430247164791854,-0.024708980424602345,1347.5,1.4211,115.130997,81.010002,0.7045129300753967,0.0,15682.0
2011-05-13,19.125,19.310897833333332,19.161943473684207,19.926690438941073,19.926690438941073,19.354206460881443,19.390656510815912,-0.03645004993446932,1334.0,1.423792,115.377998,81.040001,0.7069321737146654,0.0,18411.0
